id,domain_content,domain_data,domain_software,family,is_generic,maintainer,od_conformance,osd_conformance,status,title,url,legacy_ids
AAL,False,False,True,,,,not reviewed,approved,active,Attribution Assurance Licenses,https://opensource.org/licenses/AAL,
AFL-3.0,True,False,True,,,Lawrence Rosen,not reviewed,approved,active,Academic Free License 3.0,https://opensource.org/licenses/AFL-3.0,
AGPL-3.0,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU Affero General Public License v3,https://opensource.org/licenses/AGPL-3.0,['agpl-v3']
APL-1.0,False,False,True,,,,not reviewed,approved,active,Adaptive Public License 1.0,https://opensource.org/licenses/APL-1.0,['apl1.0']
APSL-2.0,False,False,True,,,,not reviewed,approved,active,Apple Public Source License 2.0,https://opensource.org/licenses/APSL-2.0,
Against-DRM,True,False,False,,,,approved,not reviewed,active,Against DRM,https://opendefinition.org/licenses/against-drm,
Apache-1.1,False,False,True,,,Apache Foundation,not reviewed,approved,retired,Apache Software License 1.1,https://opensource.org/licenses/Apache-1.1,
Apache-2.0,False,False,True,,,Apache Foundation,not reviewed,approved,active,Apache Software License 2.0,https://opensource.org/licenses/Apache-2.0,['apache2.0']
Artistic-2.0,False,False,True,,,Perl Foundation,not reviewed,approved,active,Artistic License 2.0,https://opensource.org/licenses/Artistic-2.0,['artistic-license-2.0']
BSD-2-Clause,False,False,True,,,,not reviewed,approved,active,"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",https://opensource.org/licenses/BSD-2-Clause,
BSD-3-Clause,False,False,True,,,,not reviewed,approved,active,"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",https://opensource.org/licenses/BSD-3-Clause,
BSL-1.0,False,False,True,,,,not reviewed,approved,active,Boost Software License 1.0,https://opensource.org/licenses/BSL-1.0,['bsl1.0']
BitTorrent-1.1,False,False,True,,,,not reviewed,not reviewed,active,BitTorrent Open Source License 1.1,https://spdx.org/licenses/BitTorrent-1.1,
CATOSL-1.1,False,False,True,,,,not reviewed,approved,active,Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),https://opensource.org/licenses/CATOSL-1.1,['ca-tosl1.1']
CC-BY-4.0,True,True,False,,,Creative Commons,approved,not reviewed,active,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,
CC-BY-NC-4.0,True,True,False,Creative Commons,,Creative Commons,rejected,not reviewed,active,Creative Commons Attribution-NonCommercial 4.0,https://creativecommons.org/licenses/by-nc/4.0/,
CC-BY-NC-ND-4.0,True,True,False,,,Creative Commons,rejected,not reviewed,active,Attribution-NonCommercial-NoDerivatives 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,
CC-BY-NC-SA-4.0,True,True,False,,,Creative Commons,rejected,not reviewed,active,Attribution-NonCommercial-ShareAlike 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,
CC-BY-ND-4.0,True,True,False,,,Creative Commons,rejected,not reviewed,active,Attribution-NoDerivatives 4.0,https://creativecommons.org/licenses/by-nd/4.0/,
CC-BY-SA-4.0,True,True,False,,,Creative Commons,approved,not reviewed,active,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,
CC0-1.0,True,True,True,,,Creative Commons,approved,not reviewed,active,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,
CDDL-1.0,False,False,True,,,,not reviewed,approved,active,Common Development and Distribution License 1.0,https://opensource.org/licenses/CDDL-1.0,['cddl1']
CECILL-2.1,False,False,True,,,,not reviewed,approved,active,CeCILL License 2.1,https://opensource.org/licenses/CECILL-2.1,
CNRI-Python,False,False,True,,,,not reviewed,approved,active,CNRI Python License,https://opensource.org/licenses/CNRI-Python,
CPAL-1.0,False,False,True,,,,not reviewed,approved,active,Common Public Attribution License 1.0,https://opensource.org/licenses/CPAL-1.0,['cpal_1.0']
CUA-OPL-1.0,False,False,True,,,,not reviewed,approved,active,CUA Office Public License 1.0,https://opensource.org/licenses/CUA-OPL-1.0,
DSL,True,False,False,,,,approved,not reviewed,active,Design Science License,https://opendefinition.org/licenses/dsl,
ECL-2.0,False,False,True,,,,not reviewed,approved,active,Educational Community License 2.0,https://opensource.org/licenses/ECL-2.0,['ecl2']
EFL-2.0,False,False,True,,,,not reviewed,approved,active,Eiffel Forum License 2.0,https://opensource.org/licenses/EFL-2.0,
EPL-1.0,False,False,True,,,Eclipse Foundation,not reviewed,approved,retired,Eclipse Public License 1.0,https://opensource.org/licenses/EPL-1.0,['eclipse-1.0']
EPL-2.0,False,False,True,,,Eclipse Foundation,not reviewed,approved,active,Eclipse Public License 2.0,https://opensource.org/licenses/EPL-2.0,['eclipse-2.0']
EUDatagrid,False,False,True,,,,not reviewed,approved,active,EU DataGrid Software License,https://opensource.org/licenses/EUDatagrid,
EUPL-1.1,False,False,True,,,,not reviewed,approved,active,European Union Public License 1.1,https://opensource.org/licenses/EUPL-1.1,
Entessa,False,False,True,,,,not reviewed,approved,active,Entessa Public License,https://opensource.org/licenses/Entessa,
FAL-1.3,True,False,False,,,Copyleft Attitude,approved,not reviewed,active,Free Art License 1.3,https://opendefinition.org/licenses/fal,
Fair,False,False,True,,,,not reviewed,approved,active,Fair License,https://opensource.org/licenses/Fair,
Frameworx-1.0,False,False,True,,,,not reviewed,approved,active,Frameworx License 1.0,https://opensource.org/licenses/Frameworx-1.0,
GFDL-1.3-no-cover-texts-no-invariant-sections,True,False,False,,,Free Software Foundation,approved,not reviewed,active,GNU Free Documentation License 1.3 with no cover texts and no invariant sections,https://opendefinition.org/licenses/gfdl,
GPL-2.0,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU General Public License 2.0,https://opensource.org/licenses/GPL-2.0,
GPL-3.0,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU General Public License 3.0,https://opensource.org/licenses/GPL-3.0,
HPND,False,False,True,,,,not reviewed,approved,active,Historical Permission Notice and Disclaimer,https://opensource.org/licenses/HPND,
IPA,False,False,True,,,,not reviewed,approved,active,IPA Font License,https://opensource.org/licenses/IPA,
IPL-1.0,False,False,True,,,IBM Corporation,not reviewed,approved,active,IBM Public License 1.0,https://opensource.org/licenses/IPL-1.0,['ibmpl']
ISC,False,False,True,,,,not reviewed,approved,active,ISC License,https://opensource.org/licenses/ISC,['isc-license']
Intel,False,False,True,,,Intel Corporation,not reviewed,approved,retired,Intel Open Source License,https://opensource.org/licenses/Intel,['intel-osl']
LGPL-2.1,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU Lesser General Public License 2.1,https://opensource.org/licenses/LGPL-2.1,
LGPL-3.0,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU Lesser General Public License 3.0,https://opensource.org/licenses/LGPL-3.0,
